Series,InstanceType,CPU,Memory,Price
ecs.hfg8i.2xlarge,8,32.0,,hfg8i,h
ecs.hfc7.2xlarge,8,16.0,,hfc7,h
ecs.hfc7.8xlarge,32,64.0,,hfc7,h
ecs.hfc8i.3xlarge,12,24.0,,hfc8i,h
ecs.hfg8i.xlarge,4,16.0,,hfg8i,h
ecs.hfr8i.xlarge,4,32.0,,hfr8i,h
ecs.hfc6.2xlarge,8,16.0,2.7512,hfc6,h
ecs.hfc8i.4xlarge,16,32.0,,hfc8i,h
ecs.hfr7.xlarge,4,32.0,,hfr7,h
ecs.hfc6.3xlarge,12,24.0,4.1218,hfc6,h
ecs.hfc8i.2xlarge,8,16.0,,hfc8i,h
